TSNE1,TSNE2,sustainability_score,high_sust,cluster,proba_esg
-55.341373,-26.56701,25.65,1,1,0.7540374272402045
-55.398006,-26.407362,25.65,1,1,0.7537325679133942
-55.263493,-26.860447,25.65,1,1,0.7546599831353296
-55.266426,-26.86526,25.65,1,1,0.7546802849691937
-18.781403,-95.744225,24.66,1,2,0.8424364753797898
-31.904276,71.07417,25.74,1,1,0.3459009308797057
-77.0163,61.736027,28.47,1,1,0.521596917839443
5.5544505,-22.678137,26.44,1,2,0.567910704685558
-45.055225,-36.047062,23.64,1,1,0.7554925399931731
3.297572,-33.782894,25.46,1,2,0.6148873824734987
-51.635105,-17.96603,27.09,1,1,0.7199448054962317
6.471135,-3.695336,24.89,1,2,0.49470929357900484
-40.946095,26.037945,22.05,0,1,0.5375674307954799
34.32287,-15.038494,25.51,1,2,0.44691015022318686
21.520004,-32.751392,21.52,0,2,0.5538988843953749
-76.22701,62.636086,28.41,1,1,0.5156984545356627
-76.18977,62.617878,28.41,1,1,0.5156456479388111
47.043236,-26.768307,27.05,1,2,0.4493376683787585
-52.272884,-18.154669,27.09,1,1,0.7221717911554277
2.8715124,-78.88201,22.93,0,2,0.7585716149584811
-46.708633,-35.58374,23.64,1,1,0.7581657514240057
84.49378,-2.4608846,18.4,0,0,0.259131251737312
-68.71644,-21.256786,29.6,1,1,0.7710951497252362
-39.87942,-4.6690927,24.38,1,1,0.6442599772906774
10.908595,-96.41785,30.38,1,2,0.7861381868321802
27.647152,-25.58161,24.02,1,2,0.5075749215865221
1.9998773,-37.830173,27.13,1,2,0.6329687375228931
2.235164,-38.296875,27.13,1,2,0.6338742360706154
1.9942527,-37.82668,27.13,1,2,0.632973582799922
1.9975909,-37.820915,27.13,1,2,0.6329435972870482
-34.127472,69.77003,23.52,0,1,0.35689095774570684
55.665543,-6.364002,24.17,1,0,0.3500433571148713
21.825573,-49.07608,24.72,1,2,0.6119510810932688
21.705896,-48.89542,24.72,1,2,0.6116805649414323
21.721073,-48.640953,24.72,1,2,0.6107335552953314
